unix,date,symbol,open,high,low,close,Volume XRP,Volume RLUSD
1749297600,2025-06-07 12:00:00,XRP/RLUSD,2.18998,2.18998,2.18998,2.18998,0.00,0.0
1749294000,2025-06-07 11:00:00,XRP/RLUSD,2.18998,2.18998,2.18998,2.18998,0.00,0.0
1749290400,2025-06-07 10:00:00,XRP/RLUSD,2.18998,2.18998,2.18998,2.18998,0.00,0.0
1749286800,2025-06-07 09:00:00,XRP/RLUSD,2.18998,2.18998,2.18998,2.18998,0.00,0.0
1749283200,2025-06-07 08:00:00,XRP/RLUSD,2.18998,2.18998,2.18998,2.18998,0.00,0.0
1749279600,2025-06-07 07:00:00,XRP/RLUSD,2.18998,2.18998,2.18998,2.18998,21479.59,47039.872508199995
1749276000,2025-06-07 06:00:00,XRP/RLUSD,2.18998,2.18998,2.18998,2.18998,7475.91,16372.093381799998
1749272400,2025-06-07 05:00:00,XRP/RLUSD,2.17882,2.17882,2.17882,2.17882,0.00,0.0
1749268800,2025-06-07 04:00:00,XRP/RLUSD,2.17882,2.17882,2.17882,2.17882,0.00,0.0
1749265200,2025-06-07 03:00:00,XRP/RLUSD,2.17882,2.17882,2.17882,2.17882,14.75,32.137595
1749261600,2025-06-07 02:00:00,XRP/RLUSD,2.15544,2.15544,2.15544,2.15544,0.00,0.0
1749258000,2025-06-07 01:00:00,XRP/RLUSD,2.15544,2.15544,2.15544,2.15544,0.00,0.0
1749254400,2025-06-07 00:00:00,XRP/RLUSD,2.15544,2.15544,2.15544,2.15544,26.40,56.903616
1749250800,2025-06-06 23:00:00,XRP/RLUSD,2.16721,2.16721,2.16678,2.16678,59652.61,129254.0822958
1749247200,2025-06-06 22:00:00,XRP/RLUSD,2.16721,2.16721,2.16721,2.16721,9153.22,19836.949916199996
1749243600,2025-06-06 21:00:00,XRP/RLUSD,2.17813,2.17813,2.17813,2.17813,0.00,0.0
1749240000,2025-06-06 20:00:00,XRP/RLUSD,2.17802,2.17813,2.17802,2.17813,4132.12,9000.2945356
1749236400,2025-06-06 19:00:00,XRP/RLUSD,2.16829,2.16829,2.16721,2.16721,74628.61,161735.8698781
1749232800,2025-06-06 18:00:00,XRP/RLUSD,2.16884,2.16981,2.16775,2.16775,116498.31,252539.21150249997
1749229200,2025-06-06 17:00:00,XRP/RLUSD,2.18591,2.18591,2.18591,2.18591,0.00,0.0
1749225600,2025-06-06 16:00:00,XRP/RLUSD,2.18591,2.18591,2.18591,2.18591,1030.09,2251.6840319
1749222000,2025-06-06 15:00:00,XRP/RLUSD,2.18812,2.18812,2.18812,2.18812,465.47,1018.5042164000001
