unix,date,symbol,open,high,low,close,Volume VEXT,Volume USD
1711483200,2024-03-26 20:00:00,VEXT/USD,0.0805,0.0820,0.0805,0.0816,40745.014,3324.7931424000003
1711479600,2024-03-26 19:00:00,VEXT/USD,0.0803,0.0803,0.0793,0.0793,46899.748,3719.1500164
1711476000,2024-03-26 18:00:00,VEXT/USD,0.0772,0.0808,0.0772,0.0807,248812.996,20079.2087772
1711472400,2024-03-26 17:00:00,VEXT/USD,0.0746,0.0773,0.0746,0.0771,47322.867,3648.5930457
1711468800,2024-03-26 16:00:00,VEXT/USD,0.0750,0.0750,0.0744,0.0746,12256.149,914.3087154
1711465200,2024-03-26 15:00:00,VEXT/USD,0.0741,0.0763,0.0741,0.0762,206784.999,15757.016923800002
1711461600,2024-03-26 14:00:00,VEXT/USD,0.0738,0.0738,0.0738,0.0738,0.000,0.0
1711458000,2024-03-26 13:00:00,VEXT/USD,0.0737,0.0738,0.0736,0.0738,7620.022,562.3576236
1711454400,2024-03-26 12:00:00,VEXT/USD,0.0738,0.0738,0.0738,0.0738,0.000,0.0
1711450800,2024-03-26 11:00:00,VEXT/USD,0.0738,0.0738,0.0738,0.0738,2027.233,149.6097954
1711447200,2024-03-26 10:00:00,VEXT/USD,0.0736,0.0736,0.0735,0.0735,10186.992,748.743912
1711443600,2024-03-26 09:00:00,VEXT/USD,0.0740,0.0742,0.0740,0.0742,2204.646,163.58473320000002
1711440000,2024-03-26 08:00:00,VEXT/USD,0.0739,0.0739,0.0739,0.0739,8659.759,639.9561901
1711436400,2024-03-26 07:00:00,VEXT/USD,0.0738,0.0739,0.0738,0.0739,3727.618,275.47097019999995
1711432800,2024-03-26 06:00:00,VEXT/USD,0.0736,0.0737,0.0736,0.0737,3838.350,282.886395
1711429200,2024-03-26 05:00:00,VEXT/USD,0.0736,0.0736,0.0735,0.0735,5926.189,435.5748915
1711425600,2024-03-26 04:00:00,VEXT/USD,0.0733,0.0733,0.0733,0.0733,1329.035,97.41826550000002
